Key,SubCategory,FAQ Question,Previous alternative User Says,New User Says,FAQ Response
already-bnp-paribas-fortis-client--q11,,What will change for my standard credit card or my Gold card?,,,"If you decide to convert your BNP Paribas Fortis Pack into Hello bank!, you can choose to keep your existing credit cards; they will be linked to your Hello Current Account or Hello4You Current Account and have a per card pricing -please see price list-. The app Hello bank! includes an overview of your credit card transactions."
already-bnp-paribas-fortis-client--q12,,What will change for the introduction of my transactions if I convert my account BNP Paribas Fortis Current Account Hello?,,,Access to your Hello Current Account will be through the app Hello bank! or through the Hello Team.
already-bnp-paribas-fortis-client--q13,,What will change for the introduction of my transactions if I convert my account BNP Paribas Fortis Current Account Hello4You?,,,"Access to your Hello Current Account will be through the app Hello bank!,  through the Hello Team or through the BNP Paribas Fortis agency network."
already-bnp-paribas-fortis-client--q14,,"What will change for ""paper"" transfers and cash withdrawals?",,,"Hello bank! is only available online via a smartphone or tablet. Therefore, you can realize your transfers through the app Hello bank! or at a BNP Paribas Fortis ATM. It is not possible, for the beneficiaries of the free Hello bank! offer -those who are over 28- to carry out manual transactions, over-the-counter withdrawals or paper transfers. The Hello4You clients -who are under 28 years old-, may perform manual transactions, withdrawals at BNP Paribas Fortis or paper transfers."
already-bnp-paribas-fortis-client--q15,,What will change for my securities account and my securities account insurance?,,,"It is not possible to open a securities account with Hello bank!, but you can keep your BNP Paribas Fortis securities account and securities account insurance. These services will be charged separately -please see the price list-."
already-bnp-paribas-fortis-client--q16,,What will change for the bonus service?,,,Hello bank! does not offer a bonus service.
already-bnp-paribas-fortis-client--q17,,Hello bank! is the perfect solution for my daily banking needs. Can I contact the Hello Team about the other financial products that I subscribed for with BNP Paribas Fortis?,,,"The Hello Team is dedicated entirely to answering your questions about the Hello bank! service. If you need help with your BNP Paribas Fortis products, there are several options available to you: visit the BNP Paribas Fortis website, refer to your PC banking or Easy banking app, go to a BNP Paribas Fortis branch or call the Contact Centre on +32 -0-2 261 11 11."
support-and-help-q1,,My card doesn't work. What should I do?,,,"Call the Hello Team and they will resolve the issue. You can contact the Hello Team by filling out the form in the app Hello bank! or the contact form on the Hello bank! website -contact section- or by phone on +32 -0-2 433 41 45 Monday to Friday from 7h to 22h, Saturday from 9h to 17h."
support-and-help-q2,,My card has been swallowed by an ATM. What should I do?,,,"Call the Hello Team, where our advisors will ensure this problem is resolved."
support-and-help-q3,,My address has changed. What should I do?,,,"Just call the Hello Team! You can contact them by phone on 02 433 41 45 Monday to Friday from 7h to 22h, Saturday from 9h to 17h."
support-and-help-q4,,How can I contact the Hello Team and is it free to do so?,,,"Support from the Hello Team is included in the Hello bank! service and is completely freeof charge -excluding the cost of getting in touch-. You can contact the Hello Team by filling out the form in the app Hello bank! or the contact form on the Hello bank! website or by phone on 02 433 41 45 Monday to Friday from 7h to 22h, Saturday from 9h to 17h."
support-and-help-q5,,I have changed my email address. What should I do?,,,"Call the Hello Team and they will confirm the change of email address. You can contact the Hello Team by  by phone on 02 433 41 45 Monday to Friday from 7h to 22h, Saturday from 9h to 17h."
support-and-help-q6,,For which devices and browsers is the Hello bank! web site optimised?,,,This web site is optimised for the following devices:   - iPhone / iPad: iOS 6 and up - Android: 2.3 and up - Windows: XP SP2 and up - Mac OS: OS 10.8   This web site is optimised for the following browsers:   - Google Chrome: 23 and up - Mozilla Firefox 17 and up - Internet Explorer: 9 and up - Safari: 5 and up
app-hello-bank-q1,,What's new in the app Hello bank!?,,,"The latest version of the app Hello bank! now available in the App Store and Google Play Store, includes these new features:  - You can now change your password from the app.  - You can now accept new providers for Zoomit payments in the app.  - You already have the ability to encode transfers with a memo date.  You can now also edit, delete, ...  - You can view your electronic account statements.  Warning:  - The iOS version of the app requires iOS 6 or higher.  - For Android, this is a mandatory update that requires OS 2.3.3 or higher."
app-hello-bank-q2,,How do I activate the app Hello bank?,,,"After subscribing to the free offer Hello bank! During your first login, you will be asked to sign your contract with your card reader -signature M2-. Once this is done, you can use the app  Hello bank! to:  - Check the balance of your accounts.  - View graphs for the evolution of your account balance, ...  - Perform and manage transfers.  - View and pay your Zoomit bills.  - Make Easy transfer payments.  - Check your account statements.  - Subscribe to new Hello bank! products -savings account, credit card, Digital Protect ...-."
app-hello-bank-q3,,How do I log in to the app Hello bank! the first time?,,,"When you first log in to the app Hello bank!, you enter your customer number and your Hello Bank card number. You will find these numbers on your Hello Bank card.  You then create a profile. The data of your profile -customer number and card number- is stored. You will therefore not need to reintroduce them when you next use the app Hello bank!  You now need to select a method of identification. There are two ways to do this :  - Either using a card reader and your Hello Bank card.  - By requesting a unique text code.  Your device is saved and you can now sign in with the password that you specified in your app contract.  Finally, you can configure Easy Transfer, a service of the app Hello bank! which allows you to transfer money with a mobile phone number and also subscribe to other Hello bank! products.  An M2 signature is requested to confirm your choice.  Warning : You must repeat this process to register  each device with which you want to use the app Hello bank!"
app-hello-bank-q4,,How do I log in to the app Hello bank!?,,,"You have two possibilities:   - by using a password in combination with automatic device recognition -of your smartphone or tablet-   - or by entering a digital signature, using your Hello Bank card in your card reader."
app-hello-bank-q5,,Where can I find my customer number and bank card number?,,,You find these numbers on the front of your Hello Bank card. Your customer number is a 10 digit number and your card number is a 15 digit number.
app-hello-bank-q6,,How do I save my user details?,,,"Your user details are:  - Your customer number.  - Your Hello Bank card number.   The app Hello bank! records this data for you when you first use the app. You can give a name to your profile. Upon future identification, you'll simply need to select your profile. The application will then complete your user data automatically."
app-hello-bank-q7,,How do I modify my user details?,,,"You can modify or delete your profile at any time. To do this, log in, then go to ""Settings"" and select ""Profile "".  You can then modify your username, change your password and delete your profile."
app-hello-bank-q8,,How do I modify my password or mobile device number?,,,"You can change your password in your ""Profile"" settings.  You can modify your mobile device number by calling the Hello Team on 02 433 41 45, Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-."
app-hello-bank-q9,,How do I log into the app Hello bank! using the card reader?,,,"Here's what to do:   - Start the app Hello bank!.  - Select an existing profile or click on ‘Continue without a profile', then type in your user number or your customer number, followed by your 17-digit bank card number.  - Click on ‘Use the card reader' and follow the steps shown on the screen.  - Enter the digital signature obtained using the red -M1- button on your card reader.  - Click on ‘Log in'.     For security reasons, you have to go through these steps each time you use the application.   Note: you should never use an M2 signature -via the blue button on your card reader- to log in. The M2 signature is only used to confirm a transaction that you have requested. You log in using the M1 signature -red button- or a text code only."
app-hello-bank-q10,,Which card should I use with the card reader?,,,"To log in or sign transactions with a card reader, you must always have a valid Hello Bank card.   Note: you cannot log in using a credit card."
app-hello-bank-q11,,I have typed in three incorrect PIN numbers and the card reader screen is displaying a ‘PIN blocked' message. What should I do?,,,"If you have made three incorrect attempts to type in a PIN number, your Hello Bank card will be locked.     To unlock your Hello Bank card, call the Hello Team on 02 433 41 45, from Monday to Friday -7am to 10 pm- and on Saturday -9am to 5pm-.     If you have forgotten the PIN number of your Hello Bank card, you will need to ask the Hello Team for a new PIN number. You will receive a new PIN code at home a few days later."
app-hello-bank-q12,,What happens if I type in an incorrect electronic signature?,,,"If you enter an incorrect electronic signature, you still have four attempts. After five unsuccessful attempts, we automatically block access to app Hello bank!  To reactivate access to the app Hello bank!, call the Hello Team at 02 433 41 45, Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-."
app-hello-bank-q13,,How do I log in with a password?,,,"The first time you use the app Hello bank!, you will log in using an activation code that you will receive via text message, or using your card reader. Once you are logged in, you get the info screens with the new features and the characteristics of your device will be registered. Afterwards, you can sign up with your password in combination with automatic device recognition; or either with your Hello Bank card in combination with an electronic signature using your card reader."
app-hello-bank-q14,,Which password should I use?,,,"The password that you need to log in, is the password that you created when you activated the app Hello bank!"
app-hello-bank-q15,,How can I change the password?,,,"You can either:   - contact the Hello Team on 02 433 41 45, from Monday to Friday -7am to 10pm- and on Saturday -9 am to 5pm-  - or change your password in the app Hello bank! in ""Settings"", then under ""Profile""."
app-hello-bank-q16,,What happens if I type in an incorrect password?,,,"When you type in an incorrect password, you have two attempts remaining to enter it correctly. After three incorrect attempts, your access to the app Hello bank! is automatically locked for security reasons. Your agreement is then suspended.   You can reactivate your access to the app Hello bank! by calling the Hello Team advisers on 02 433 41 45, from Monday to Friday -7am to 10pm- and on Saturday -9am to 5pm-.   Have you forgotten your password? No problem, just contact the Hello Team to create a new one."
app-hello-bank-q17,,I haven't received the text activation code to log into the app Hello bank! What should I do?,,,"Send a blank text to 2211. A few minutes later you can request a new text code.   If that doesn't work there are a few possible causes: - Your mobile device has lost its network signal. Check the connection and try again. - Your mobile agreement doesn't cover this type of text. You or your employer may have blocked this feature. - Your mobile operator is experiencing technical problems. - Hello bank! is experiencing technical problems.   If you have any questions, contact our Hello Team on 02 433 41 45. Of course, you can always log in using your card reader and bank card as an alternative."
app-hello-bank-q18,,How do I log in to the app Hello bank! the first time with a text code?,,,"Here's what to do:  - Start the app Hello bank! - Select an existing profile or click on ‘Continue without profile', type in your user number or your customer number, followed by your 17-digit bank card number. - Click on ‘Request a code via text'. - You will receive a text with a code to your mobile device. - Enter your password -created when you activated the free Hello bank! offer- and your text code. - Click on ‘Log in'."
app-hello-bank-q19,,What happens if I enter an incorrect password when I log in via text?,,,"When you type in an incorrect password, you still have two attempts remaining to enter your password correctly. After three incorrect attempts, access to the app Hello bank! is automatically locked for security reasons. Your agreement is then suspended.   You can reactivate access to the app Hello bank! by calling the Hello Team on 02 433 41 45, from Monday to Friday -7am to 10 pm- and on Saturday -9am to 5pm-."
app-hello-bank-q20,,Can I reuse an existing text code to log into the app Hello bank!?,,,"No. A text code is only valid for 10 minutes. After this time, you will have to request a new text code. Every text code is unique. Once you have logged in with this code, you can't use it again."
app-hello-bank-q21,,Which amounts can be transferred with the app Hello bank!,,,"The maximum amount for transfers is 25,000€ per week. This limit does not apply to transfers between your own accounts."
app-hello-bank-q22,,When should you sign a transfer?,,,"You must enter a M2 signature:  - If you exceed the amount limit of 2,500€ per week.  - For transfers to a new beneficiary.  - For transfers to a designated beneficiary -new or known-.   Caution: Never use an M2 signature to identify yourself. The M2 signature is only used to confirm a transaction that you have requested."
app-hello-bank-q23,,Can I cancel a transfer I have set up using the app Hello bank!,,,"To cancel a transfer that has not yet been emitted, you have two options:  - Call the Hello Team  on 02 433 41 45, Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-.  - Cancel or change the transfer directly in the app by selecting the account to pay out and then click ""Next Transfer""."
app-hello-bank-q24,,How can I be sure that the transfer that I have set up using the app Hello bank! will be made correctly?,,,"When you have finalised and confirmed a transfer using the app Hello bank!, you will immediately receive a message confirming whether your request has been accepted or not -except if the transaction is disrupted by a technical problem, for example if your smartphone or tablet switches off-.  You can check the transactions on your account via the app Hello bank! Transfers which have just been set up using the app Hello bank! can also be reviewed."
app-hello-bank-q25,,What happens if my device switches off when I am making a transfer in the app Hello bank!?,,,"When your device fails in the middle of a transaction and you have not yet received confirmation of this transaction, this means that the transaction has not been made. In this case, you should re-enter the transaction again."
app-hello-bank-q26,,Can I consult my banking statements in the app Hello bank!?,,,"You can view your account statements by selecting an account, then clicking on ""Statements"""
app-hello-bank-q27,,Why use Zoomit in the app Hello bank!?,,,"1. Zoomit allows you to pay your digital invoices in seconds using a pre-filled transfer form. 2. The link ""Tasks"", represented by the ""Mailbox"" icon -linked to the account -, allows to access a screen with links to ""To do"" and ""History"". The sub-menu ""To do"" informs you of   - All bills you can pay.   - Providers that you've allow to send you invoices via Zoomit.  The payment of an invoice or acceptance of a provider requires only one click. Same to pay a bill, or accept a new provider.  The ""History"" sub-menu gives you an overview of all invoices already paid, salary slips received...  If you wish, you receive a text message:   - As soon as a bill is due.   - When a new provider is available in Zoomit.  You can enable or disable this messaging service at any time via the ""Settings""."
app-hello-bank-q28,,How secure is the app Hello bank!?,,,"The bank takes every possible measure to ensure optimum security of the app Hello bank! We make sure that the connection between your device and the app Hello bank! is secure. As such, only those devices that you have registered beforehand are authorised to log in to the app Hello bank!. For more details, please contact the Hello Team. You can also contribute to guaranteeing this security by following a few instructions:  - When choosing a new password, avoid combinations that are too obvious -for instance, part of your first or last name, your partner's name or your pet's name, a date of birth, etc.- - Choose a password made up of letters and figures -special characters are not authorised-;  - Keep your password secret since you should be the only person who knows this password;  - Change your password regularly, especially if you suspect that someone else also knows it - Only link the app Hello bank! to those accounts you plan to use regularly; - Close the app Hello bank! session using the ""Log out"" button only.   - Go to this link for recommendations on how to carry out your banking transactions safely using the app Hello bank!."
app-hello-bank-q29,,What should I do if I lose my smartphone or tablet?,,,"You can lock your app contract agreement immediately via the Hello Team.   Call the Hello Team if you can no longer log in with your password and device recognition. You will have to tell them your user number or your customer number, and the number of your mobile device -which you selected when you configured your device-. You can contact the Hello Team on 02 433 41 45, from Monday to Friday -7am to 10pm- and on Saturday -9am to 5pm-. Outside Hello Team opening hours, you can also block your app contract via PC Banking."
app-hello-bank-q30,,What other products can I add using the app Hello bank!?,,,"The application allows you to:    - Open a Hello Current Account.    - Open a savings account -Traditional, Hello4You or Premium Online-.    - Subscribe to the insurance for digital devices, Digital Protect.    - Order your Hello Prepaid card.    - Request your Hello Credit card.    - Request a Direct Reserve.    - Request an installment loan."
app-hello-bank-q31,,How much does the app Hello bank! cost?,,,"The app Hello bank! is included in the free Hello bank! offer. Access is free of charge, whichever method you use: a card reader, a password with a text code or a password with device recognition. If you use the app Hello bank! via a WiFi connection or via your mobile operator's network, the operator may make an additional charge. Ask your operator to tell you about charges for ‘mobile data' connections, particularly abroad."
app-hello-bank-q32,,Where can I download the app Hello bank!?,,,"You can download the app Hello bank! in the App Store -iOS- or the Google Play Store -Android- by typing ""Hello bank! by BNP Paribas Fortis."" The app Hello bank! is only available in the Belgian ""stores""."
app-hello-bank-q33,,On what devices can the app Hello bank! be used?,,,"The app Hello bank! has been developped for iOS devices with iOS 6 or higher, and for Android devices with OS 2.3.3 or higher."
what-is-hello-bank-q1,,What is Hello bank! ?,,,"Hello bank! is the mobile brand of BNP Paribas Fortis. We are offering you a new banking model and relationship which will give you greater independence. You can take advantage of the support from the Hello Team, a team of advisers who specialise in banking products and mobile technology. Our vision for mobile banking is very simple: a free offer for daily banking operations and attractive rates for any additional services, made possible by our mobile-only distribution system. Click here for more information."
what-is-hello-bank-q2,,Are my deposits protected?,,,"Yes, don't worry. Your deposits are protected under Belgian legislation. Your savings with a Belgian bank are protected by the Belgian Protection Fund for Deposits and Financial Instruments. It is compulsory for banks to join this Fund; if your bank goes bankrupt, the Fund will reimburse deposits of up to EUR 100,000 per person."
what-is-hello-bank-q3,,What does ‘by BNP Paribas Fortis' mean?,,,"Hello bank! is the mobile brand of BNP Paribas Fortis. BNP Paribas Fortis is the market leader in Belgium and part of the BNP Paribas group, the number one bank in the Eurozone for deposits and one of the six most secure banks in the world according to Standard & Poor's. The group has more than 200,000 employees in 84 countries."
what-is-hello-bank-q4,,What can I expect from Hello bank! if I need help?,,,We are introducing a new banking relationship that will give you greater independence while also providing you with support from the Hello Team of advisers who are specialists in banking products and mobile technology. You can contact the Hello Team by filling in the form in the app Hello bank! or the contact form on the Hello bank! website or by telephone on +32 -0-2 433 41 45 from 7am to 10pm Monday to Friday and 9am to 5pm on Saturday.
what-is-hello-bank-q5,,Where can I find more information about your terms and conditions?,,,"In the section ""About us"" on the Hello bank! website, where you will also find the pre-contractual information about the products and services offered by Hello bank!, as well as the terms and conditions."
what-is-hello-bank-q6,,Can I visit a branch of BNP Paribas Fortis if I have questions about my Hello Current Account?,,,"We're like you, mobile first! But mobile does not mean that we do not give advice. That is why Hello bank! has foreseen the Hello Team by your side, a team of experts in banking products and mobile technologies. You can contact the Hello Team by phone at 02 433 41 45 from Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-.   However our youngest customers -holder of a Hello4You Current Account- can go whenever they want in a BNP Paribas Fortis agency."
what-is-hello-bank-q7,,Does Hello bank! comply with current Belgian legislation?,,,"BNP Paribas Fortis is subject to prudential supervision by the National Bank of Belgium, Boulevard de Berlaimont 14, 1000 Brussels, Belgium and to supervision in respect of investor and consumer protection by the Financial Services and Markets Authority -FSMA-, rue du Congrès 12-14, 1000 Brussels, Belgium. It is authorised as an insurance agent under FSMA number 25879A."
what-is-hello-bank-q8,,Can I use Hello bank! to make online purchases?,,,Hello bank! offers two perfect solutions for online payments:    - The Hello Credit card.    - The Hello Prepaid card.   But we go even further by offering a 100% virtual prepaid card exclusively designed for online shopping.
what-is-hello-bank-q9,,What is meant by simpler and more transparent service at Hello bank!?,,,"Simple means an application that is easy to download and to use that allows you to:    - Carry out all your daily operations.    - Follow the evolution of your account and the expenses incurred with your Hello Credit card.    - Subscribe to new products -savings accounts, insurance, credit ...-.   But simplicity with Hello bank! goes even further. It is present in the design of our products that are created to meet the needs of urban and mobile clients."
become-a-customer-q1,,How to become a Hello bank customer?,,,"Two possibilities:    - Either on the site www.hellobank.be, by clicking on ""Join Hello"".    - Either in the app Hello bank! -available in the App Store and Google Play- by clicking on ""Become a Hello bank! customer ""."
become-a-customer-q2,,How to subscribe to the Hello4You offer?,,,"Three possibilities:  - Visit the site www.hellobank.be, click ""Join Hello"" and make your request in less than four minutes!  - Download the app Hello bank! and apply for your subscription to the Hello4You offer directly in the app.  - Go to a BNP Paribas Fortis branch."
become-a-customer-q3,,What are the conditions for the free Hello bank! offer?,,,"Yes, there are two kinds:   - The free Hello bank! offer includes a current account for personal use only. Hello bank! approves your request for the free Hello bank! offer if you are over 18 years old, a resident of Belgium and legally competent.  - You need to be in the possession of an iPad or iPhone running iOS version 6 or above, or an Android device running OS version 2.4 or above."
become-a-customer-q4,,What are the conditions for the free Hello4You offer?,,,- Being a physical person. - Legally competent.  - Minimum age: 18 years old.  - Maximum age upon opening: 27 years and 9 months.  - Account holders: maximum 2 co-holders as of 18 years old.  - Maximum two Hello4You accounts.
become-a-customer-q5,,I would like to subscribe to the free Hello bank! offer. Which documents do I need?,,,You only need your identity card and perhaps that of your partner when you are opening a joint account.
become-a-customer-q6,,How should I send a copy of my ID card?,,,"Two possibilities:    - Either you send a photocopy of your ID card by mail to the following address: Hello bank! Index 1QA6X Montagne du Parc 3, 1000 Brussels.    - Or you send a scan of your ID card by e-mail to the following email address: administration.be@hellobank.com"
become-a-customer-q7,,Can I become a customer if I live abroad?,,,"Only if your legal address is in Belgium. However, don't forget that your agreements, bank card, etc., will be sent to the legal address that you gave when you opened the account."
become-a-customer-q8,,Can I become a customer if I am not a Belgian citizen ?,,,"Yes, certainly, but you must live in Belgium. However, there is an exception to this rule. A US citizen cannot become a customer.  To comply with US tax -FATCA- and other legislation relating to accounts held by US citizens or residents of the United States, the bank cannot authorize US citizens to subscribe to a free Hello bank! offer."
become-a-customer-q9,,Can I become a customer of Hello bank! with my partner?,,,"Of course, you just need to open a joint account."
become-a-customer-q10,,"What happens if I do not have a place of residence in my own name -because I am a student, for example-?",,,"All of your documents, your bank card and your PIN code, etc., will be sent to your legal address."
become-a-customer-q11,,Am I entitled to a free Hello bank! offer if I am a legal entity?,,,"Sorry, the free Hello bank! offer and the free Hello4You offer is only available to individuals for their personal use."
become-a-customer-q12,,Where can I find my agreement contract?,,,"Two possibilities:    - Either you received them by e-mail.    - Either you received them by mail.   If you have lost or misplaced them, call the Hello Team on 02 433 41 45 Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-."
become-a-customer-q13,,"I have not received my bank card or my PIN code, or  have lost the activation code for my card. What should I do?",,,You can contact the Hello Team by telephone on 02 433 41 45 Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-.
become-a-customer-q14,,Are there activation charges associated with the free Hello bank! offer?,,,No activation fee is required for the free Hello bank! offer nor for the free Hello4You offer.
become-a-customer-q15,,Are there user charges associated to the free Hello bank! offer or the free Hello4You offer ?,,,"The vast majority of the transactions are free. However, there is a charge for certain transactions on your account and card, for example, cash withdrawal in a country outside of the Eurozone. For more information, please consult our price lists and terms and conditions. Internet connection and telephone charges are the customer's responsibility and depend on the rates of the customer's chosen operator."
become-a-customer-q16,,"I would like to become a Hello bank! customer, but I'm already a BNP Paribas Fortis customer. What should I do?",,,"You can convert your current Pack into Hello bank!, or subscribe to a whole new free Hello bank! offer or a Hello4You offer alongside your Pack. See the FAQ section for customers who already have a BNP Paribas Fortis account."
become-a-customer-q17,,I want to become a Hello bank! customer. What are the system requirements for my smartphone or tablet?,,,The app Hello bank! can be downloaded from the Google Play Store or the Apple App Store to an iPad or iPhone running iOS 6 or higher or an Android device running OS  2.4 or higher.
become-a-customer-q18,,"Where can I find more information on the details of my agreement -such as the duration, terms and conditions,...-?",,,"Refer to the ""About us"" section of this website."
become-a-customer-q19,,Why do I need to provide an email address to become a customer of Hello bank!?,,,We need an email address for communication purposes. Some exchanges of information concerning the services we provide occur via email.
become-a-customer-q20,,Where can I find my account number?,,,"You can find your account number on your bank card. If you are already a customer of BNP Paribas Fortis and you would like to convert your existing account, your account number will remain the same."
become-a-customer-q21,,Do I need a card reader?,,,"Yes, every new Hello bank! customer receives a card reader. You need this card reader to access Hello bank! mobile services."
become-a-customer-q22,,Is there a minimum amount that must be transferred to start using my Hello Current Account?,,,"No, there is no minimum amount that must be transferred to the account. However, we would advise you to have all of your income paid directly to your Hello Current Account, this will allow you to manage your income and expenditure whenever and wherever you want. Simply ask your employer or family allowance fund, etc., to have your income paid directly on your account."
become-a-customer-q23,,Have further questions or need help?,,,Contact the Hello Team  on 02 433 41 45 Monday to Friday -7am to 10pm- and Saturday -9am to 5pm-.
product-services-q1,Hello4You,What is Hello4You?,,,"Hello4You is the dedicated Hello bank offer for the under 28. The basic offer includes:  - A free Hello4You Current Account.  - A Hello4You Bank card per holder and per account -maximum 2-.  - Access to the app Hello bank!, The Hello Team and the BNP Paribas Fortis branches.  - Free advice from the Hello Team 83h/week.   In addition, upon request, you also enjoy:  - A free Hello Prepaid card -physical version-.  - A Hello4You Savings Account  with attractive rates.  - The Hello Credit card * free for one year -after 50% off until you turn 28-.   * Subject to approval of your application."
product-services-q2,Hello4You,What are the conditions to subscribe to the Hello4You offer?,,,- Being a physical person.  - Legally competent.  - Minimum age: 18 years.  - Maximum age upon opening: 27 years and nine months  - Account holder: maximum two co-holders as of 18 years old.  - Maximum two Hello4You accounts.
product-services-q3,Hello4You,How do I access my account?,,,Through the app Hello bank! available for free download on Google Play or the App Store.  You can also go to a BNP Paribas Fortis branch to benefit from expert advice.
product-services-q4,Hello4You,What happens when I turn 28?,,,"The Hello4You Current Account is converted into the banking option that fits most to your habits, needs and desires.   Hello bank! informs you at least two months before, and you obviously have the opportunity to choose another offer than the one suggested.  If you have subscribed to Hello4You Current Account for two, it is converted when the youngest holder reaches the age of 28."
product-services-q5,Hello4You,What are the spending limits for the Hello4You Bank card?,,,"The Hello4You Bank card spending limit is 625€ per transaction and per day at the ATM -maximum 1,250 € per week- and 2,500€  per week for retailers."
product-services-q6,Hello4You,How do I request my free Hello Prepaid card?,,,"It's very simple, just make a request by calling the Hello Team at 02 433 41 45 -Monday to Friday from 7am to 10pm and Saturday from 9am to 5pm- or in the app Hello bank! in the 'Add Items' link. The card is only available to Hello bank! customers.  Not yet a customer? Visit www.hellobank.be the site, click ""Join Hello"" and sign up in less than four minutes!"
product-services-q7,Hello4You,"A free Hello Prepaid card alright, but are there user fees?",,,Only withdrawals and payments outside the Eurozone that incur expenses:  - Withdrawals: 0.30% of the amount + 2.86€ -+1.60% exchange fees-.  - Payments: 1.21% -+1.63% exchange fees-  Replacing the lost or stolen card costs 8€.
product-services-q8,Hello4You,I have questions about using my Hello Prepaid card.  Where can I find answers?,,,All the answers to your questions about the Hello Prepaid card can be found here.
product-services-q9,Hello4You,How do I open my Hello4You Savings Account?,,,"Request it in the app Hello bank! In the ""My Accounts"", click the ""Add Items"" icon."
product-services-q10,Hello4You,What are the interest rates of my Hello4You Savings account?,,,You will find all details of interest rates in the price list.
product-services-q11,Hello4You,My Hello4You Bank card is valid five years. What happens when it expires?,,,You will receive a new Hello4You Bank card valid until your 28 years old.
product-services-q12,Hello4You,Do I benefit from any advantage on the Hello Credit card thanks to Hello4You?,,,"Yes, for Hello4You clients, the Hello Credit card is free for the first year and then discounted  at 50% up to 28 years old.  Maximum one Hello Credit card per holder and per account."
